,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
148,itamarst/eliot,1030,63,1117,"['python', 'logging', 'logging-library', 'tracing', 'causality', 'causality-analysis', 'causation', 'twisted', 'journald', 'elasticsearch', 'asyncio', 'scientific-computing', 'dask', 'numpy']",1813
149,ibayer/fastFM,1025,200,297,"['machine-learning', 'recommender-system', 'factorization-machines', 'matrix-factorization']",4886
150,alumae/kaldi-gstreamer-server,1023,341,213,['speech-recognition'],274857
151,noripyt/django-cachalot,1022,114,631,"['django', 'python', 'performance', 'cache']",1600
152,Pithikos/python-websocket-server,1021,351,231,[],193
153,marshmallow-code/apispec,1019,162,1617,"['openapi', 'swagger', 'python', 'marshmallow', 'rest-api', 'documentation', 'python-3', 'python-2', 'flask', 'pluggable', 'api', 'http-api', 'json-schema', 'openapi-specification', 'openapi3', 'openapi2', 'hacktoberfest']",1974
154,kevthehermit/RATDecoders,1018,302,203,[],385
155,GeospatialPython/pyshp,1017,259,440,[],3753
156,pollen-robotics/dtw,1016,224,64,"['python', 'dtw', 'distance-measures', 'distance-metric', 'distance']",192
157,Hipo/university-domains-list,1016,325,979,[],20670
158,lingthio/Flask-User,1005,277,666,[],2948
159,gurnec/btcrecover,1002,374,293,"['bitcoin', 'password-recovery']",2390
160,vnpy/vnpy,20551,7498,6539,"['trading', 'investment', 'quant', 'python', 'algotrading', 'finance', 'fintech', 'vnpy']",253864
161,heartexlabs/labelImg,19539,5608,449,"['python2', 'python3', 'annotations', 'tools', 'imagenet', 'deep-learning', 'detection', 'recognition', 'image-classification']",242833
162,ungoogled-software/ungoogled-chromium,16362,721,2054,"['chromium', 'inox', 'iridium', 'privacy', 'control', 'transparency', 'google-chromium']",13958
163,fortra/impacket,10929,2944,3803,"['impacket', 'smb', 'python', 'netbios', 'msrpc', 'wmi', 'dcerpc', 'dcom', 'pass-the-hash', 'kerberos']",9373
164,borgbackup/borg,9332,681,7817,"['python', 'python-3', 'compression', 'dedupe', 'ssh', 'deduplication', 'backup', 'borgbackup', 'encryption', 'cython', 'c']",30147
165,alicevision/Meshroom,9081,926,2970,"['photogrammetry', 'computer-vision', '3d-reconstruction', 'alicevision', 'structure-from-motion', 'multi-view-stereo', 'camera-tracking', 'hdr-imaging', 'image-stitching', 'texturing', 'meshroom']",5905
166,janeczku/calibre-web,8905,1036,3807,"['calibre', 'epub', 'mobi', 'ebook', 'ebook-manager']",85128
167,Porchetta-Industries/CrackMapExec,7108,1384,1112,"['python', 'active-directory', 'pentesting', 'windows', 'powershell', 'networks']",8174
168,RsaCtfTool/RsaCtfTool,4268,746,945,"['rsa-attack', 'rsa', 'cryptography']",16938
169,spec-first/connexion,4224,711,1402,"['python', 'openapi', 'api-rest', 'swagger', 'flask-extensions', 'microservices', 'web', 'api-first']",14497
170,motioneye-project/motioneye,3340,612,1111,"['python', 'python3', 'camera', 'raspberrypi', 'motion-detection']",15696
171,dynaconf/dynaconf,2976,263,674,"['configuration-management', 'config', 'settings', 'configuration', 'flask', 'python', 'django', 'django-configuration', 'flask-configuration', '12factorapp', 'vault', 'environment-variables', 'environment-configuration', 'app-config', 'flask-extension', 'django-extension', 'dynaconf', 'hacktoberfest', 'fastapi', 'yaml']",8611
172,notofonts/noto-fonts,2407,208,3278,[],6245212
173,pypa/flit,1924,112,1147,[],1069
174,lavie/runlike,1616,101,262,"['docker', 'docker-container', 'python']",221
175,Alexey-T/CudaText,1549,134,18511,"['lazarus', 'text-editor', 'pascal', 'cross-platform', 'free-pascal']",48724
176,DidierStevens/DidierStevensSuite,1544,461,368,[],15040
177,openbmc/openbmc,1344,631,15733,[],154185
178,virtio-win/virtio-win-pkg-scripts,1305,123,306,[],89336
179,petercorke/robotics-toolbox-python,1303,320,2297,"['python', 'robotics', 'robotics-toolbox', 'robotics-simulation', 'robotics-control', 'kinematics', 'dynamics', 'jacobian', 'robot-manipulator', 'trajectory-generation', 'hessian', 'motion-planning']",170782
180,O365/python-o365,1281,335,933,"['python', 'microsoft-graph-api', 'onedrive', 'mailbox', 'office-365-rest-api', 'microsoft-api', 'sharepoint', 'calendar', 'outlook', 'planner', 'excel', 'email', 'graph', 'oauth-authentication', 'microsoft', 'addressbook', 'calendars', 'oauth', 'microsoft-teams']",9340
181,mpdavis/python-jose,1268,216,650,"['python', 'jose', 'jwt']",703
182,pyeventsourcing/eventsourcing,1235,124,4684,"['domain-driven-design', 'ddd', 'eventsourcing', 'cqrs', 'event-sourcing', 'distributed-systems', 'django', 'sqlalchemy', 'python', 'python3']",9510
183,CodeReclaimers/neat-python,1199,433,707,"['neuroevolution', 'python']",2272
184,korfuri/django-prometheus,1183,210,496,"['prometheus', 'django', 'django-prometheus', 'python', 'monitoring', 'exported-metrics', 'metrics', 'prometheus-client']",530
185,belangeo/pyo,1171,121,2318,"['pyo', 'signal-processing', 'radio-pyo', 'sound', 'python', 'dsp', 'c', 'audio', 'music', 'synthesis']",26057
186,WebBreacher/WhatsMyName,1170,220,2031,"['osint', 'username', 'users', 'socmint', 'python']",2581
187,vivien/i3blocks-contrib,1169,458,625,"['i3', 'i3blocks', 'blocklet']",3078
188,trailofbits/publications,1142,149,616,"['conference-presentations', 'academic-papers', 'security-reviews']",625520
189,zhuinfo/Django-ERP,1137,738,8,[],1299
190,pytest-dev/pytest-asyncio,1128,118,405,[],444
191,hhursev/recipe-scrapers,1126,389,1083,[],20040
192,zalando/spilo,1125,293,803,"['python', 'docker', 'docker-image', 'postgresql', 'high-availability', 'patroni', 'data-infrastructure']",29159
193,pytest-dev/pytest-xdist,1123,181,1075,"['hacktoberfest', 'pytest', 'pytest-plugin']",1856
194,istresearch/scrapy-cluster,1108,317,747,"['python', 'scrapy', 'kafka', 'redis', 'scraping', 'distributed']",29380
195,jmathai/elodie,1095,127,353,"['organize-photos', 'photo-organizer', 'exif', 'elodie', 'photo-manager', 'photography', 'synology', 'synology-nas', 'exiftool', 'automation', 'photos', 'command-line', 'cli', 'python', 'python3', 'dropbox', 'google-drive', 'exif-information', 'google-photos', 'google-photos-api']",10526
196,igraph/python-igraph,1086,241,2524,[],32585
197,galaxyproject/galaxy,1082,794,67194,"['bioinformatics', 'workflow', 'genomics', 'science', 'sequencing', 'ngs', 'dna', 'usegalaxy', 'pipeline', 'workflow-engine', 'hacktoberfest']",624874
