,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
1192,TsmileAssassin/stock_discover,115,41,31,31,1249
1193,NREL/rdtools,121,57,632,632,62411
1194,ppaquette/gym-doom,100,30,11,11,29
1195,rubenmak/PokemonGo-SlackBot,100,29,46,46,4348
1196,capless/kev,98,13,237,237,402
1197,MacLeek/trackmac,98,11,24,24,528
1198,1N3/HTTPoxyScan,99,48,6,6,6
1199,mpkato/interleaving,111,14,171,171,172
1200,pyk/rojak,98,45,222,222,1482
1201,bontchev/wlscrape,98,19,53,53,1255
1202,Wind-River/crypto-detector,123,21,91,91,214
1203,jay-johnson/sci-pype,100,21,86,86,13957
1204,shariq/notion-on-firebase,108,6,14,14,14
1205,hoxo-m/densratio_py,113,30,96,96,437
1206,scoringengine/scoringengine,109,38,1792,1792,5034
1207,plinss/acmebot,108,21,199,199,728
1208,AliShug/EvoArm,115,42,11,11,39180
1209,pideck/pideck,110,18,140,140,100
1210,ckmarkoh/GAN-tensorflow,98,49,9,9,12916
1211,chaitin/pro,100,19,4,4,26
1212,alexferl/vyper,122,23,115,115,126
1213,takuti/flurs,106,17,229,229,631
1214,VisionLearningGroup/caption-guided-saliency,101,35,10,10,195
1215,MagicStack/pgbench,104,24,29,29,62
1216,groove-x/mqtt_bridge,137,114,89,89,58
1217,supasate/yosh,97,22,66,66,44
1218,bigchaindb/bigchaindb-driver,102,102,485,485,1008
1219,camptocamp/odoo-cloud-platform,141,154,318,318,847
1220,man-group/PyBloqs,134,33,175,175,8715
1221,gristlabs/asttokens,142,25,300,300,314
1222,Mipu94/peda-heap,98,14,29,29,152
1223,jsalbert/Music-Genre-Classification-with-Deep-Learning,126,33,31,31,14031
1224,klis87/django-cloudinary-storage,114,23,121,121,1126
1225,swarfarm/swarfarm,105,37,3110,3110,311440
1227,JKCooper2/rlai-exercises,106,40,9,9,59
1228,igordejanovic/parglare,119,29,1054,1054,14056
1229,NVlabs/PL4NN,125,50,4,4,5
1230,dutilh/CAT,120,29,209,209,5028
1231,klokantech/flask-firebase,100,28,23,23,14
1232,flutter/buildroot,116,216,656,656,26173
1233,taesungp/real-nvp,101,20,35,35,223
1234,Cymmetria/MTPot,98,33,15,15,16
1235,caktus/aws-web-stacks,101,18,470,470,470
1236,openai/neural-gpu,116,58,253,253,248
1238,eyarovoi/TechInterviewsMeetup,98,22,72,72,52717
1239,daili0015/Download_1024,95,49,6,6,7
1240,aws-samples/aws-lambda-lifecycle-hooks-function,101,65,15,15,18
1241,fhorinek/adbmirror,102,25,22,22,2292
1242,karthik4444/nn-trajectory-prediction,99,33,56,56,64383
1243,tgyg-jegli/tf_texture_net,96,21,5,5,7777
1244,namaggarwal/splitwise,137,42,131,131,503
1245,jg8610/multi-task-learning,95,29,12,12,819
1246,HadrienG/InSilicoSeq,130,30,527,527,6360
1247,lospooky/pyblur,101,40,5,5,31
1248,sivel/flask-lambda,107,35,9,9,12
1249,hauntek/python-ngrokd,97,28,50,50,57
1250,bhautikj/vrProjector,103,20,27,27,524
1251,NREL/OpenOA,134,43,544,544,93238
1252,jaebradley/draftkings_client,125,35,169,169,1498
1253,vijfhoek/telematrix,99,20,71,71,56
1254,seanlook/px-table-checksum,103,58,6,6,15
1255,luyishisi/Raspberry_face_recognition_attendance_machine,95,45,5,5,25080
1256,snowkylin/rnn-handwriting-generation,98,39,9,9,139281
1257,uberfastman/fantasy-football-metrics-weekly-report,145,39,433,433,6404
